,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
124,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,4,1328.4260000000004,264672848
125,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,5,1366.792,264672848
126,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,6,1368.047,264672848
127,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,7,1327.662,264672848
128,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,8,1328.156,264672848
129,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc32,0,9,1364.576,264672848
130,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,0,1332.456,264672852
131,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,1,1370.305,264672852
132,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,2,1330.3339999999996,264672852
133,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,3,1329.239,264672852
134,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,4,1332.318,264672852
135,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,5,1373.511,264672852
136,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,6,1328.751,264672852
137,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,7,1330.9520000000002,264672852
138,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,8,1326.546,264672852
139,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,crc64,1,9,1326.0220000000004,264672852
140,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,0,1385.338,264672844
141,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,1,1361.919,264672844
142,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,2,1319.124,264672844
143,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,3,1312.556,264672844
144,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,4,1315.352,264672844
145,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,5,1319.369,264672844
146,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,6,1369.69,264672844
147,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,7,1318.4589999999996,264672844
148,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,8,1327.384,264672844
149,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,none,2,9,1367.384,264672844
150,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,0,1380.126,264672876
151,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,1,1379.491,264672876
152,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,2,1353.581,264672876
153,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,3,1348.079,264672876
154,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,4,1340.83,264672876
155,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,5,1361.0,264672876
156,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,6,1357.2220000000002,264672876
157,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,0,1,1,sha256,3,7,1348.774,264672876
