,system,target,server,fastbest,verify,lax,replay_gain,lpc_optimization,replication,time_compress,size_compress
118,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,8,185.47,636308990
119,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,0,1,1,9,186.182,636308990
120,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,0,174.43599999999995,636308800
121,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,1,108.255,636308800
122,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,2,109.623,636308800
123,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,3,107.932,636308800
124,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,4,107.54,636308800
125,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,5,112.562,636308800
126,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,6,108.496,636308800
127,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,7,108.672,636308800
128,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,8,108.08,636308800
129,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,0,9,109.964,636308800
130,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,0,113.707,636308800
131,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,1,113.074,636308800
132,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,2,113.866,636308800
133,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,3,113.954,636308800
134,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,4,114.285,636308800
135,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,5,118.256,636308800
136,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,6,114.586,636308800
137,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,7,114.514,636308800
138,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,8,114.613,636308800
139,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,0,1,9,113.531,636308800
140,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,0,182.151,636308990
141,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,1,181.793,636308990
142,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,2,181.528,636308990
143,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,3,182.139,636308990
144,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,4,180.977,636308990
145,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,5,181.067,636308990
146,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,6,181.555,636308990
147,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,7,181.322,636308990
148,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,8,181.832,636308990
149,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,0,9,184.842,636308990
150,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,0,186.878,636308990
151,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,1,187.608,636308990
152,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,2,188.55900000000003,636308990
153,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,3,187.871,636308990
154,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,4,186.707,636308990
155,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,5,186.286,636308990
156,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,6,185.732,636308990
157,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,7,187.607,636308990
158,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,8,189.992,636308990
159,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,0,1,1,1,1,9,185.71,636308990
160,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,0,78.054,624074079
161,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,1,78.071,624074079
162,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,2,78.997,624074079
163,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,3,77.813,624074079
164,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,4,78.362,624074079
165,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,5,78.91199999999998,624074079
166,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,6,78.969,624074079
167,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,7,79.075,624074079
168,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,8,78.575,624074079
169,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,0,9,78.41199999999998,624074079
170,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,0,84.339,624074079
171,flac,benchmark/targets/audio/ghosts.wav,BasicA0-japaneast,1,0,0,0,1,1,85.12200000000001,624074079
