,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
110,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,0,130.078,360402299
111,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,1,129.19,360402299
112,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,2,129.099,360402299
113,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,3,129.43,360402299
114,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,4,129.63,360402299
115,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,5,129.36700000000002,360402299
116,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,6,129.425,360402299
117,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,7,129.31799999999998,360402299
118,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,8,134.392,360402299
119,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,3,1,9,129.74200000000002,360402299
120,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,0,114.698,337793102
121,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,1,114.882,337793102
122,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,2,115.149,337793102
123,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,3,114.45,337793102
124,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,4,114.072,337793102
125,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,5,115.206,337793102
126,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,6,114.696,337793102
127,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,7,114.633,337793102
128,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,8,152.231,337793102
129,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,9,114.186,337793102
130,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,0,114.207,337793102
131,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,1,116.815,337793102
132,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,4,0,2,116.006,337793102
