,system,target,server,fastbest,small,replication,time_compress,size_compress
162,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,2,523.257,253977891
163,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,3,518.242,253977891
164,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,4,529.031,253977891
165,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,5,531.945,253977891
166,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,6,520.434,253977891
167,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,7,533.322,253977891
168,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,8,531.239,253977891
169,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,0,9,531.492,253977891
170,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,0,470.904,279931654
171,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,1,474.30300000000005,279931654
172,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,2,473.1880000000001,279931654
173,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,3,471.346,279931654
174,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,4,471.801,279931654
175,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,5,472.268,279931654
176,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,6,471.75,279931654
177,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,7,470.976,279931654
178,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,8,474.25,279931654
179,bzip2,benchmark/targets/text/enwik9_10,BasicA0-japaneast,9,1,9,497.724,279931654
180,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,0,515.124,295663934
181,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,1,482.978,295663934
182,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,2,485.574,295663934
183,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,3,480.68,295663934
184,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,4,481.36300000000006,295663934
185,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,5,483.299,295663934
186,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,6,480.894,295663934
187,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,7,485.381,295663934
188,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,8,490.097,295663934
189,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,0,9,484.818,295663934
190,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,0,487.947,295663934
191,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,1,487.384,295663934
192,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,2,497.217,295663934
193,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,3,486.676,295663934
194,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,4,487.184,295663934
195,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,5,524.126,295663934
196,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,6,497.106,295663934
197,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,7,507.739,295663934
198,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,8,507.785,295663934
199,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,1,1,9,503.025,295663934
200,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,0,492.233,279931654
201,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,1,488.483,279931654
202,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,2,501.385,279931654
203,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,3,503.139,279931654
204,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,4,514.465,279931654
205,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,5,558.379,279931654
206,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,6,485.234,279931654
207,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,7,491.36300000000006,279931654
208,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,8,492.544,279931654
209,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,0,9,507.018,279931654
210,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,0,490.329,279931654
211,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,1,482.36800000000005,279931654
212,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,2,508.631,279931654
213,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,3,507.384,279931654
214,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,4,522.0790000000002,279931654
215,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,5,512.509,279931654
216,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,6,522.788,279931654
217,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,7,519.818,279931654
218,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,8,533.885,279931654
219,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,2,1,9,570.092,279931654
220,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,0,511.8130000000001,272067783
221,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,1,499.222,272067783
222,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,2,511.241,272067783
223,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,3,514.368,272067783
224,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,4,525.656,272067783
225,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,5,500.031,272067783
226,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,6,515.22,272067783
227,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,7,513.268,272067783
228,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,8,517.925,272067783
229,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,0,9,501.392,272067783
230,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,0,477.805,279931654
231,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,1,479.982,279931654
232,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,2,478.245,279931654
233,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,3,480.644,279931654
234,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,4,516.082,279931654
235,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,5,492.836,279931654
236,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,6,484.759,279931654
237,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,7,485.566,279931654
238,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,8,485.779,279931654
239,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,3,1,9,485.024,279931654
240,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,0,549.9259999999998,266988881
241,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,1,518.745,266988881
242,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,2,504.519,266988881
243,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,3,503.905,266988881
244,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,4,506.521,266988881
245,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,5,511.497,266988881
246,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,6,517.492,266988881
247,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,7,598.868,266988881
248,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,8,570.7230000000002,266988881
249,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,0,9,565.925,266988881
250,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,0,489.9380000000001,279931654
251,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,1,478.331,279931654
252,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,2,463.006,279931654
253,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,3,496.318,279931654
254,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,4,493.073,279931654
255,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,5,479.626,279931654
256,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,6,474.888,279931654
257,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,7,477.73800000000006,279931654
258,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,8,477.83,279931654
259,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,4,1,9,477.684,279931654
260,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,0,587.405,263222994
261,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,1,490.937,263222994
262,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,2,491.157,263222994
263,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,3,492.416,263222994
264,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,4,490.169,263222994
265,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,5,492.481,263222994
266,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,6,490.852,263222994
267,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,7,498.501,263222994
268,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,8,492.371,263222994
269,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,0,9,491.287,263222994
270,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,0,458.04,279931654
271,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,1,455.692,279931654
272,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,2,456.037,279931654
273,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,3,455.714,279931654
274,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,4,455.538,279931654
275,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,5,454.744,279931654
276,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,6,456.093,279931654
277,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,7,455.372,279931654
278,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,8,459.023,279931654
279,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,5,1,9,496.025,279931654
280,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,6,0,0,556.405,260293182
281,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,6,0,1,548.145,260293182
282,bzip2,benchmark/targets/text/enwik9_10,BasicA0-westus2,6,0,2,548.047,260293182
